model,threshold,precision,recall,f1,iou,dice,accuracy,pred_change_ratio,true_change_ratio
simple_cnn,0.1,0.3853700270757248,0.9558911540110698,0.5492916333262199,0.3786368800267395,0.5492916742795907,0.9200879335403436,0.12636065483093253,0.050942629575729335
simple_cnn,0.2,0.4551780556679023,0.938351602450273,0.6130002684879227,0.44196139191039296,0.613000312476962,0.9396431073546403,0.10501845926046365,0.050942629575729335
simple_cnn,0.3,0.505558975052553,0.9228267044041727,0.6532455440814381,0.4850517547030981,0.6532455898145759,0.9500912129878991,0.09298859536647791,0.050942629575729335
simple_cnn,0.4,0.5487380169056912,0.9073105816183905,0.6838724690726276,0.5196096308108712,0.6838725160403267,0.9572678804397576,0.08423106372356409,0.050942629575729335
simple_cnn,0.5,0.5895119824252218,0.8903083684977385,0.7093393674286914,0.5495940790368752,0.7093394153628496,0.9628307446837419,0.07693592458963389,0.050942629575729335
simple_cnn,0.6,0.6307377379286888,0.8704164621543371,0.7314431439389734,0.5765947480118123,0.7314431926643615,0.9674392789602273,0.07030069828033443,0.050942629575729335
simple_cnn,0.7,0.6760118364581746,0.844719867364853,0.7510076759024287,0.6012909290889465,0.7510077252870603,0.971465811133384,0.06365606188774105,0.050942629575729335
simple_cnn,0.8,0.7303185655737445,0.8067007595280197,0.7666117056480881,0.6215494261100903,0.7666117555246104,0.9749776944518083,0.05627059191465374,0.050942629575729335
simple_cnn,0.9,0.8073398767604653,0.7328004897765186,0.768266362660339,0.6237277446736709,0.7682664125432244,0.977479696273803,0.04623924195766446,0.050942629575729335
unet,0.1,0.7979887175501782,0.9323131995710517,0.859937059680006,0.7542891856694239,0.8599371093786828,0.9845286011695855,0.059517741203308064,0.050942629575729335
unet,0.2,0.8365912676329715,0.916198311522898,0.8745869695093847,0.7771254059508306,0.8745870194062512,0.986614324152469,0.05579014867544171,0.050942629575729335
unet,0.3,0.8560553885829925,0.9055087281664078,0.8800878432762357,0.7858544326130311,0.8800878932368329,0.9874298349022859,0.05388552695512768,0.050942629575729335
unet,0.4,0.8687960641326201,0.8970795056135209,0.8827112316498542,0.7900476100128923,0.8827112816370309,0.9878554940223687,0.05260105431079861,0.050942629575729335
unet,0.5,0.8786999916053231,0.8894513180733377,0.8840429178702791,0.7921836974133695,0.8840429678684341,0.9881134107708924,0.051565937697887386,0.050942629575729335
unet,0.6,0.8877235475292281,0.8815687942382683,0.8846354157602851,0.7931357315052303,0.8846354657596837,0.988286800682544,0.05058943480253216,0.050942629575729335
unet,0.7,0.8973159327776081,0.872025113624983,0.8844897207402167,0.7929015328786598,0.8844897707300046,0.9883970618247979,0.04950681328773495,0.050942629575729335
unet,0.8,0.909065095423103,0.858269746822027,0.8829374111761449,0.790410053524702,0.8829374611348458,0.9884062707424157,0.04809613525867459,0.050942629575729335
unet,0.9,0.9268189050659044,0.8313792778662658,0.8765086844715358,0.7801651522381717,0.8765087343242094,0.9880658760666841,0.04569678753614423,0.050942629575729335
siamese_temporal_attention_unet,0.1,0.828774363358056,0.9398344751896928,0.8808173495683836,0.7870184890976395,0.8808173993712252,0.9870434403419488,0.05776920914649959,0.050942629575729335
siamese_temporal_attention_unet,0.2,0.8623802795107648,0.9267868331313913,0.8934242507411732,0.8073774810186782,0.8934243006763836,0.988736025989055,0.05474726110696789,0.050942629575729335
siamese_temporal_attention_unet,0.3,0.8794656145785387,0.9178114968780415,0.8982294406491959,0.8152600591362262,0.8982294906264392,0.9894050359725945,0.05316379666328427,0.050942629575729335
siamese_temporal_attention_unet,0.4,0.8909568945741985,0.9105874100755066,0.9006651504401688,0.8192819883351256,0.9006652004342359,0.9897677525877946,0.05206505209207531,0.050942629575729335
siamese_temporal_attention_unet,0.5,0.9000071358668928,0.90386599943486,0.901932390191215,0.821381555382499,0.90193244019099,0.9899869412183755,0.051161050796508754,0.050942629575729335
siamese_temporal_attention_unet,0.6,0.9081602524597128,0.8970018445597058,0.902546511285498,0.8224007775119988,0.9025465612835912,0.9901319295167916,0.050316706299781765,0.050942629575729335
siamese_temporal_attention_unet,0.7,0.9164832702678767,0.8889863755308172,0.9025253871641579,0.8223657000404012,0.9025254371525645,0.9902177602052682,0.04941421747207638,0.050942629575729335
siamese_temporal_attention_unet,0.8,0.9262805607343494,0.8777078259526441,0.9013402282598986,0.8203998566237967,0.9013402782236543,0.9902115836739533,0.048271276056766475,0.050942629575729335
siamese_temporal_attention_unet,0.9,0.9417470989607009,0.8550729194881441,0.8963194846938622,0.812118690742997,0.8963195345775233,0.9899225980043405,0.04625409841537473,0.050942629575729335
